"entity","code","year","nitrogen_kg_ha","region_label"
"Southern Asia (FAO)","",2006,80.35,"Southern Asia"
"Southern Asia (FAO)","",2007,81.22,"Southern Asia"
"Southern Asia (FAO)","",2008,86.1,"Southern Asia"
"Southern Asia (FAO)","",2009,89.87,"Southern Asia"
"Southern Asia (FAO)","",2010,92.77,"Southern Asia"
"Southern Asia (FAO)","",2011,95.12,"Southern Asia"
"Southern Asia (FAO)","",2012,91.05,"Southern Asia"
"Southern Asia (FAO)","",2013,92.19,"Southern Asia"
"Southern Asia (FAO)","",2014,94.1,"Southern Asia"
"Southern Asia (FAO)","",2015,95.58,"Southern Asia"
"Southern Asia (FAO)","",2016,92.32,"Southern Asia"
"Southern Asia (FAO)","",2017,94.55,"Southern Asia"
"Southern Asia (FAO)","",2018,98,"Southern Asia"
"Southern Asia (FAO)","",2019,104.02,"Southern Asia"
"Southern Asia (FAO)","",2020,111.55,"Southern Asia"
"Southern Asia (FAO)","",2021,108.86,"Southern Asia"
"Southern Asia (FAO)","",2022,111.36,"Southern Asia"
"Southern Asia (FAO)","",2023,112.82,"Southern Asia"
